"","CitationName","n"
"132","Bull. Natl. Sci. Mus. Tokyo, ser. A (Zool.)",1
"133","Bull. Natl. Sci. Mus. Tokyo, Ser. A (Zool.)",1
"134","Byul. Mosk. Ob-va Ispytatelei Prirody. Otd. Biol.",1
"135","C. R. Acad. Sci. Paris, ser. D",1
"136","Caldasia",1
"137","Can. J. Zool",1
"138","Canadian J. Zool.",1
"139","Carib. J. Sci.",1
"140","Caribbean J. Sci.",1
"141","Ciencia e Cultura",1
"142","Ciencia Siglo XXI",1
"143","Cimbebasia, Ser. A",1
"144","Com. Jour. Cienc. Nat. Montevideo (Uruguay)",1
"145","Comun. Zool. Mus. Hist. Nat. Montevideo",1
"146","Cont. Mammal.: a Memorial Vol. Honoring Dr. J. K. Jones, Mus. Texas Tech Univ.",1
"147","Cont. Zool. Inst., St. Peteresburg",1
"148","Contributions in Mammalogy: A Memorial Volume Honoring Dr. J. Knox Jones, Jr.",1
"149","Doñana, Acta Vertebr.",1
"150","Durban Mus. Novit.",1
"151","Ecotropica",1
"152","Faune de Madagascar, Chiroptères",1
"153","Fieldiana Zool., n.s.,",1
"154","Fieldiana Zool., ns",1
"155","Fieldiana Zool.,<i> </i>NS",1
"156","Fieldiana, Zool., n.s.",1
"157","Fieldiana: Zoology, n.s.",1
"158","Fundaçao Brasileira Conservaçao Natu. Bol. Inform.",1
"159","Gortania",1
"160","Gryzuny Severnovo Kavkaza.",1
"161","Guia de identificação de cervídeos Brasileiros",1
"162","Hist. Nat.",1
"163","Hist. Nat., Corrientes",1
"164","Iheringia",1
"165","In von Helversen, Heller, Mayer, Nemeth, Volleth, and Gombkötö, Naturwissenschaften",1
"166","IX Cong. Latinoamer. Zool. [abstracts], Arequipa, Peru",1
"167","J. Mammal. Soc. Japan",1
"168","J. Zool.",1
"169","J. Zool. London",1
"170","J. Zool., Lond.",1
"171","Living New World Monkeys",1
"172","Los Angeles Co. Mus. Nat. Hist., Sci. Ser.",1
"173","Los Angeles Co. Nat. Hist. Mus., Contr. Sci.",1
"174","Los Angeles Cty. Mus. Contrib. Sci.",1
"175","Mammal. Biol.",1
"176","Mar. Mam. Sci.",1
"177","Marine Mammal Sci.",1
"178","Mastozool. Trop.",1
"179","Mem. Queensland Mus.",1
"180","Mem. Soc. Cien. Nat. La Salle",1
"181","Mem. Soc. Cienc. Nat. La Salle",1
"182","Nat. Geog. Res. Explor.",1
"183","Nature",1
"184","Notulas Faunisticas",1
"185","Occ. Pap. Mus. Texas Tech. Univ.",1
"186","Occas. Pap. Bernice P. Bishop Mus.",1
"187","Occas. Pap. Mus. Nat. Hist., Univ. Kansas",1
"188","Occas. Pap. Mus. Zool. Univ. Michigan",1
"189","Occas. Pap., Mus. Texas Tech Univ.",1
"190","Oryx",1
"191","Palaeovertebrata",1
"192","Papeis Avulsos de Zoologia, São Paulo",1
"193","Physis, sec. C.",1
"194","Physis. Sec. C.",1
"195","Primate Eye",1
"196","Proc. 4th Int. Bat Res. Conf. Nairobi",1
"197","Proc. 5th Internat. Bat Res. Conf., (D. E. Wilson and A. L. Gardner, eds.), Texas Tech Press.",1
"198","Proc. Bio. Soc. Wash.",1
"199","Proc. Fauna SR Serbia, Serbian Acad. Sci. and Arts, Belgrade",1
"200","Publ. Mus. Hist. Nat., Ser. A Zool., Univ. Nac. Mayor de San Marcos",1
"201","R. Ontario Mus. Life Sci. Occas. Pap.",1
"202","Raffles Bulletin of Zoology",1
"203","Rec. West, Aust. Mus.",1
"204","Rec. West. Aust. Mus.12",1
"205","Resúmenes VI Congreso Iberoamericano de Conservación v Zoología de Vertebrados",1
"206","Resumenes VII Jornadas Argentinas Zoologia, Mar del Plata",1
"207","Rev. Acad. Colomb. Cienc.",1
"208","Rev. Brasil. Biol.",1
"209","Rev. Chilena Hist. Nat.",1
"210","Rev. Nordest. Biol.",1
"211","Revista de Biologia Tropical",1
"212","Revta Bras. Biol.",1
"213","Russian J. Theriol.",1
"214","S. Afr. J. Zool.",1
"215","Säugetier. Mitt.",1
"216","Science and Technology news. Forest Inventory and Planning Institue (Hanoi)",1
"217","Science in New Guinea",1
"218","Senk. Biol.",1
"219","Southwest. Nat.",1
"220","SSugetierkdl. Mitt.",1
"221","Stud. Neotrop. Fauna Envir.",1
"222","Stuttg. Beitr. Naturk. ser. A",1
"223","Syst. Zool.",1
"224","The Kingdon Field Guide to African Mammals",1
"225","Trans. R. Soc. S. Aust.",1
"226","Trop. Zool.",1
"227","Vestn. Zool.",1
"228","Vict. Nat.",1
"229","Z. geol. Wiss., Berlin",1
"230","Z. Säugtierk.",1
"231","Zool. Abh. Mus. Tierk. Dresden",1
"232","Zool. Garten, NF",1
"233","Zool. Jour. Linnean Soc.",1
"234","Zool. Meded. Rijksmus. Nat. Hist. Leiden",1
"235","Zool. Res.",1
"236","Zool. Res. Kunming",1
"237","Zool. Research",1
"238","Zoologica Scripta",1
"239","Zoologische Mededelingen",1
