"","CitationName","n"
"1","Rec. W. Aust. Mus.",6
"2","Aust. Mamm.",3
"3","Aust. J. Zool.",2
"4","Aust. Zool.",2
"5","Mem. Qld. Mus.",2
"6","Mem. Queensl. Mus.",2
"7","Aus. J. Zool.",1
"8","Austr. Mamm.",1
"9","Rec. West. Aust. Mus.",1
