"","CitationName","n"
"135","Bull. Acad. R. Belgique, Classe des Sciences, Sér 5.",1
"136","Bull. Am. Mus. Nat Hist.",1
"137","Bull. Brit. Mus. (Nat. Hist). Zool.",1
"138","Bull. Inst. Roy. Sci. Nat. Belg., Biol.",1
"139","Bull. Inst. Roy. Sci. Nat. Belgium (Biologie)",1
"140","Bull. Nat. Hist. Mus. Lond.",1
"141","Bull. Nat. Hist. Res. Centre",1
"142","Bull. Nat. Sci. Mus., Tokyo. Ser. A",1
"143","Bull. Natl. Sci. Mus. Tokyo, ser. A (Zool.)",1
"144","Bull. Natl. Sci. Mus. Tokyo, Ser. A (Zool.)",1
"145","Byul. Mosk. Ob-va Ispytatelei Prirody. Otd. Biol.",1
"146","C. R. Acad. Sci. Paris",1
"147","C. R. Acad. Sci. Paris, ser. D",1
"148","Caldasia",1
"149","Can. J. Zool",1
"150","Canadian J. Zool.",1
"151","Carib. J. Sci.",1
"152","Caribbean J. Sci.",1
"153","Ciencia e Cultura",1
"154","Ciencia Siglo XXI",1
"155","Com. Jour. Cienc. Nat. Montevideo (Uruguay)",1
"156","Com. Zool. Mus. Hist. Nat. Montevideo",1
"157","Comun. Zool. Mus. Hist. Nat. Montevideo",1
"158","Cont. Mammal.: a Memorial Vol. Honoring Dr. J. K. Jones, Mus. Texas Tech Univ.",1
"159","Cont. Zool. Inst., St. Peteresburg",1
"160","Contributions in Mammalogy: A Memorial Volume Honoring Dr. J. Knox Jones, Jr.",1
"161","Doñana, Acta Vertebr.",1
"162","Durban Mus. Novit.",1
"163","Ecotropica",1
"164","Family Muridae: rats and mice [Government Printing Office, Bangkok]",1
"165","Faune de Madagascar, Chiroptères",1
"166","Fieldiana Zool., n.s.,",1
"167","Fieldiana Zool., ns",1
"168","Fieldiana Zool.,<i> </i>NS",1
"169","Fieldiana, Zool., n.s.",1
"170","Fieldiana: Zoology, n.s.",1
"171","Fundaçao Brasileira Conservaçao Natu. Bol. Inform.",1
"172","Gortania",1
"173","Gryzuny Severnovo Kavkaza.",1
"174","Guia de identificação de cervídeos Brasileiros",1
"175","Hist. Nat.",1
"176","Hist. Nat., Corrientes",1
"177","Iheringia",1
"178","In von Helversen, Heller, Mayer, Nemeth, Volleth, and Gombkötö, Naturwissenschaften",1
