"","CitationName","n"
"1","<i>In</i> Ma et al., Zool. Res. Kunming",1
"2","<i>In</i>Chau, Vietnam Economic News",1
"3","<i>In</i>Ha, Vietnam Economic News",1
"4","Acta Ther. Sin.",1
"5","Anim. Conserv.",1
"6","Durban Mus. Novit.",1
"7","Guia de identificação de cervídeos Brasileiros",1
"8","Nature",1
"9","Säugetier. Mitt.",1
"10","Science and Technology news. Forest Inventory and Planning Institue (Hanoi)",1
"11","Zool. J. Linn. Soc.",1
"12","Zool. Meded. Leiden",1
"13","Zool. Res. Kunming",1
