"","CitationName","n"
"1","Aust. J. Zool.",5
"2","Rec. Aust. Mus.",4
"3","Aust. Mammal.",3
"4","Aust. Mamm.",1
"5","Austr. Mamm.",1
"6","Mammalia",1
"7","Rec. W. Aust. Mus.",1
